insurance_id,payer_name,payer_type
INS-MMIAPD,Flores-Allen,Government
INS-M2HVS3,"Anderson, Oconnell and Yates",Insurance
INS-GMOCQU,Jackson-Hubbard,Government
INS_NULL,Self-pay,Self-pay
INS-NOREG1,Gonzalez Group,Insurance
INS-03W1NL,Jackson-Hubbard,Government
INS-IUD7I5,"Richard, Floyd and Villanueva",Insurance
INS-2R01J3,"Johnson, Mcintyre and Garrett",Insurance
INS-7EJ3L7,"Lopez, Johnson and Myers",Government
INS-MBEPRE,Henson Group,Government
INS-NOREG2,Merritt-Flynn,Insurance
INS-NOREG3,"Thomas, Blake and Harding",Insurance
INS-QOS7OG,Flores-Allen,Government
INS-H7D31V,Peterson-Williams,Government
INS-XCFQDY,"Johnson, Mcintyre and Garrett",Insurance
INS-3CC7KE,"Smith, Cole and Rodgers",Insurance
INS-YAM1XC,Jackson-Hubbard,Government
INS-6CCJEO,Shaw-Jacobs,Insurance
INS-35MY3E,Henson Group,Government
INS-JBYZ5L,Wood Inc,Government
INS-UGU3PT,Lee and Sons,Insurance
INS-MGX9XD,"Smith, Cole and Rodgers",Insurance
INS-SVXD6I,,Government
INS-M7WO61,Walker-Bates,Government
INS-0GUI8G,,Insurance
INS-5Z9PAB,Lee and Sons,Insurance
INS-SNHDEG,Fowler-Smith,Government
INS-NCVEPS,Lee and Sons,Insurance
INS-596VLU,"Andrade, Gilbert and Cook",Government
INS-TNY79M,"Sanchez, Shaffer and Watson",Government
INS-9SVID6,Merritt-Flynn,Insurance
INS-02S9V7,Lee and Sons,Government
INS-NOREG4,Chang Inc,Government
INS-DQAJE3,"Johnson, Mcintyre and Garrett",Government
INS-IEX2TC,Day Group,Insurance
INS-NOREG5,,Self-pay
INS-YCSSTR,Merritt-Flynn,Government
INS-E3LICN,"Smith, Cole and Rodgers",Insurance
INS-383XIV,"Andrade, Gilbert and Cook",Insurance
INS-NOREG6,,Self-pay
INS-NGA0W8,"Andrade, Gilbert and Cook",Insurance
INS-NOREG7,,Self-pay
INS-I464HP,,Insurance
INS-KI9UBS,Fowler-Smith,Insurance
INS-EGCMI8,,Insurance
INS-N4F960,"Anderson, Oconnell and Yates",Government
INS-Y81SMY,Peterson-Williams,Insurance
INS-NZHR8O,Shaw-Jacobs,Insurance
INS-HH2X3T,Flores-Allen,Government
INS-6B4AOG,Walker-Bates,Government
INS-XTMDJC,"Richard, Floyd and Villanueva",Insurance
INS-6HU9IG,,Government
INS-NOREG8,,Self-pay
INS-1M0Z1R,"Richard, Floyd and Villanueva",Insurance
INS-ZWXHCD,,Government
INS-NOREG9,,Self-pay
INS-19CTWM,Brooks-Johnson,Insurance
INS-O26R9E,Day Group,Insurance
INS-STLRUC,Jackson-Hubbard,Insurance
INS-LHCHTU,"Richard, Floyd and Villanueva",Government
INS-6WE40F,Henson Group,Insurance
INS-DIQ23I,Peterson-Williams,Insurance
INS-TSA82G,"Johnson, Mcintyre and Garrett",Insurance
INS-WCA56U,,Government
INS-NOREG10,,Self-pay
INS-FEHJCM,Chang Inc,Government
INS-JGN8JZ,Fowler-Smith,Government
INS-4KOTNQ,"Johnson, Mcintyre and Garrett",Government
INS-PGC6BM,Martinez-Burnett,Insurance
INS-K4WKF5,"Smith, Cole and Rodgers",Insurance
INS-9C5YV9,"Thomas, Blake and Harding",Government
INS-I15M31,Walsh-Thomas,Insurance
INS-RUJWFJ,Fowler-Smith,Government
INS-P218IW,,Government
INS-JGTCZK,Chang Inc,Insurance
INS-0T7017,"Johnson, Mcintyre and Garrett",Insurance
INS-X2J9A0,Henson Group,Government
INS-SXEIVI,Wood Inc,Insurance
INS-EFO858,Henson Group,Government
INS-I9ISKU,Walker-Bates,Insurance
INS-BNM0E0,,Insurance
INS-3FM4CY,Chang Inc,Government
INS-R24DKP,Gonzalez Group,Government
INS-NOREG11,,Self-pay
INS-7JW6BW,,Insurance
INS-AQRY5Y,Brooks-Johnson,Government
INS-7PZFSF,Fowler-Smith,Government
INS-A67SY5,Walker-Bates,Insurance
INS-XPCGNG,,Insurance
INS-UAZOOF,"Lopez, Johnson and Myers",Insurance
INS-TZPNX5,Fowler-Smith,Insurance
INS-X5LGR4,"Thomas, Blake and Harding",Government
INS-YGUT9C,Wood Inc,Insurance
INS-TH96ZM,,Government
INS-5E2MJG,"Anderson, Oconnell and Yates",Government
